Cedric,Bum,jerry derpington 
Sonny Salt,Cerberus,budrockstar 
Mazzy Lynch,Treasurer,lilsh4 
Iren Gluchnik,Innkeeper's Wife,advisorman 
Erika Yllek,Cerberus,adaxia 
Tovek Botley,Healer,nekoslave 
Ezel Mindling,Hand,atticat 
Gmyza Sui,Soiler,blindbutler 
Brock,Bum,jeffery jefferson 
Clayvon Menace,Rogue,wesdo 
Malcolm Toadstomper,Grave Robber,themaskedman2 
Axel Manse,Adventurer,jetnissan 
Toth Boehner,Mushroomcutter,cheesewithpepsi 
Bartholomew Osteech,Rogue,scotlandforever 
Teff Gombrov,Peasant,chshon 
Simski Gombrov,Stone Carver,trexdude 
Linden Manse,Alchemist,leverash 
Terfo Oronis,Burglar,plumpenjoyer 
Slomrek Toadstomper,Rogue,farcry11 
Vhaegar Ranac,Rogue,gb 
Augustus Phomto,Courier,mxykikker 
Chandra Gluchnik,Maid,spookypineapple 
Curtis Cox,Znamak,omegazip2 
Bohemond Von Hohenstein,Rebel Peasant,tristanx7 
Tilda Gluchnik,Nun,qwertqwert 
Deih Mencele,Miner Kid,sarkavonsy 
Gary,Bum,randy sandy 
Magar Thomli,Grave Robber,falloutdud3 
Neva Okaw,Maid,thegel 
Benedict Webb,Pcheloved,conslyrunning 
Lorod Le Doux,Rogue,youngratlords 
Lemuel Cox,Znamak,omegazip2 
Mondo Forte,Adventurer,mithras trismegistus 
Damon Kitzinger,Rogue,darkinfected 
Darius Huxley,Swashbuckler,plumpenjoyer 
Robar Hall,Cornerman,tristanx7 
Jera Collet,Aristocrat's Wife,cheesewithpepsi 
Rupert Coldwater,Aristocrat,omegazip2 
Felix Collet,Aristocrat,gb 
Agnes Coldwater,Aristocrat's Wife,mxykikker 
Shigeo Friedman,Cornerman,leverash 
Oddo Salarskii,Grave Robber,scotlandforever 
Zero Zapata,Adventurer,jetnissan 
Jama Noton,Robber,jacks4eva 
Xander Greene,Fisher,hap9786 
Jairo Birch,Adventurer,jtpck9 
Grixo,Bum,beanstrom 
Mize Morena,(Random),jeffery jefferson 
Cellador Orethi,Blacksmith,rag maggot 
Myasek Orethi,Raider,darkinfected 
Stefan Luzianska,Guest,bongosz 
Gryph Hanover,Docker,stuff_jej3 
Yark Wormbeard,Builder,bluethulhu 
Atum Fawkes,Bishop,ghostymudy 
